Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
Vgtn Chix Tender Incogmeato,10#/CS,25,45,17,B,False
Pierogie Cheddar Cheese,288 EA/BOX,25,33,12,B,True
Pasta Macaroni Elbow,20LB/BOX,25,31,6,B,False
Eggroll Veg 3Oz,96 EA/CS,25,31,11,B,False
Paste Curry Red,*4 CNTR/CS,24,34,14,B,False
$$ Umbrella Super Mini,EACH,23,121,2,B,False
Flatware Cutlerease Knife,960 EA/CS,23,40,15,B,False
Pc Sauce Soy,200 EA/CS,23,31,7,B,False
Stb Cup Hot 12Oz,920 EA/CS,22,36,2,B,False
Cookie Bky Raw Cs 1Oz Candy,120 EA/CS,21,34,6,B,True
Deli Pepperoni Sand,CATCH WGT/#,20,50,1,B,True
# Hub Lid Dome 32&48 Oz Rec Bowl,400 EA/CS,20,34,7,B,False
Dress Caesar Crmy,4/GAL,18,31,12,B,False
Pasta Fzn Tortellini Cheese,10 LB/BOX,16,132,23,B,False
Shirt Tee Navy Xlarge,EACH,15,73,3,B,False
Bakea Flour Pastry,50 LB/BAG,13,69,16,B,False
Sugar Brown #8 Lt,50 LB/BG,13,39,3,B,False
Cup Plstc Souffle 2Oz (Hot),2500/CS,11,42,10,B,False
Honey Whit Clover Kosher,6-5 LB/CS,11,35,17,B,False
Cheese Cheddar Mild Cubed,CATCH WGT/#,9,38,4,B,False
Veg Fzn Edamame,6-2.5 LB/CS,8,41,28,B,False
Beef Patty Slider 2Oz,CATCH WGT/#,5,56,7,B,False
Shlfsh Shrimp Brd 16-20Ct,CATCH WGT/#,5,52,9,B,False
$$ Umbrella Classic Auto Open,EACH,4,57,9,B,False
$$ Umbrella Psu Logoed,EACH,3,51,11,B,False
Pierogie Cheddar Cheese Mini,4-98 EA/CASE,154,31,8,C,False
Pc Cheese Crm Straw,100 EA/CS,132,10,21,C,False
Register Tape Sticky 80Mm,18 ROLLS/CS,115,19,9,C,False
Name Tag-Sch Of Hos Mgmt,EACH,111,104,4,C,False
Box Pizza 10X10X2 Crrgtd,50 EA/BNDL,96,50,9,C,False
Cap Updh Beanie Blk,EACH,90,82,1,C,False
Seaweed Salad,4-4.4 #/CS,88,12,6,C,False
Veg Beans Refried,6 #10CN/CASE,84,30,2,C,False
Wrap Foil Sub 14X16,1000/CASE,84,18,1,C,False
Crust Pinsa Classica,20 EA/CS,75,76,9,C,False
Shirt Polo Navy 2Xlarge,EACH,70,65,2,C,False
Shirt Polo Navy Small,EACH,66,66,7,C,False
Bread Naan Dipper,2-175 CT/CS,65,40,5,C,False
Bakea Mix Muffin / Pound Cake,50 LB/BAG,64,36,5,C,False
# Bjc Hot Dog Beef 8/#,CATCH WGT/#,57,53,2,C,False
$$ Nongshim Soon Ramen Cup,6 EA/CS,55,31,7,C,False
Pork Sausage Topping,10 #/CASE,55,26,1,C,False
Sauce Franks Buffalo Disp Pack,2-1.5 GAL/CS,54,30,7,C,False
$$ Yog Chob Protein Strawb Kiwi,12 EA/CS,52,48,1,C,False
Bowl Soup 12 Oz Compost,500 EA/CS,50,28,9,C,False
# Cheez Whiz Spread Pouch,6-6.5#/CS,50,22,1,C,False
Pc Dress Ff Honey Dijon,60 EA/CS,49,7,3,C,False
$$ Halal Sr Butter Chicken,8 EA/CS,48,20,13,C,False
Seitan Bulk Ref,2-5 LB/CS,47,28,2,C,False
Pork Sausage Ital Hot Rope,CATCH WGT/#,47,48,6,C,False
Deli Gyros Loaf Slcd 1/3Oz Halal,4-5#/CASE,46,27,12,C,False
Beef Round Top Mbg #168 Choice,CATCH WGT/#,45,60,11,C,True
$$ Binggrae Milk Banana,24 EA/CS,42,31,8,C,False
# Cho Chai Tea,6-1/2 GAL,42,27,9,C,False
Pc Dress Caesar Crmy,60 EA/CS,41,28,4,C,False
Bakea Choc Drops 4000-5000Ct,25 LB/CS,41,28,12,C,False
Dress Mayonnaise Disp Pack,2-1.5 GAL/CS,40,25,12,C,False
Juice Fzn Express Cranberry,3-3 LITRE/CS,39,27,6,C,False
$$ Ramune Bev Lychee,24 EA/CS,39,20,3,C,False
$$ Pc Hummus W/Pretzel Classic,12 EA/CS,38,30,1,C,False
Sauce Hot Kosher,4 GAL/CASE,38,30,3,C,False
Ecl Nexa Foam Hand,6-750 ML/CASE,37,40,7,C,False
Veg Tomato Puree Kosher,6/10 CN,37,22,8,C,False
Cookie Bky Raw Cs 3.125 Cchip,60 EA/CS,36,34,12,C,False
Crust Pinsa Sorriso Folded,35 EA/CS,36,36,4,C,False
Bagel Everything Mini,72 EA/CS,35,33,4,C,False
Cookie Bky Raw Cs 1Oz Cchip,120 EA/CS,35,29,21,C,False
Bakea Sugar Confectioners 6X,50 LB/BAG,35,43,11,C,False
$$ Hitempura Seaweed Snack Spicy,12 EA/CS,35,8,5,C,False
Bakea Spice Cinnamon Bulk,LB,34,41,9,C,True
Dress Ranch Reg,4-1 GAL/CS,33,30,7,C,False
Pc Syrup Table,100/CS,33,27,2,C,False
$$ Ld Emergen C 2Ct,6 PK/SLV,33,24,10,C,False
$$ Ld Nyquil Severe 4 Ct,6 PK/SLV,33,21,3,C,False
Veg Fzn Blend Antigua,8-3#/CASE,32,30,13,C,False
Pasta Egg Noodles,10LB/BOX,32,28,3,C,False
Cntr Hinged 24Oz Sq Clear 2Go,200 EA/CS,32,31,11,C,False
Grain Rice Brown Long Kosher,25 LB/BAG,32,27,4,C,False
$$ Miss Vickies Simple Sea Salt,64-1.375 OZ/CS,32,27,2,C,False
Lid For 12&16 & 24 Oz Soup Bowl Compost,500 EA/CS,32,22,4,C,False
Sauce Soy,4-1GAL/CS,31,30,4,C,False
Lid Plstc Souffle 2Oz (Hot),2500/CS,31,30,4,C,False
Soup Base Gf Veg Golden,6-16 OZ/CS,31,24,12,C,False
Dssrt Bd Choc Bacio Di Dama,111 EA/CS,31,19,3,C,False
Bun Pretzel Salt King Hawaiian,8-4 EA/CS,31,21,4,C,False
Oil Olive Extra Virgin,4-3 LTR/CS,31,12,6,C,False
Fish Surimi Seafood Flakes,12-2#/CASE,31,9,4,C,False
$$ Ld Advil 6Ct,6 PK/SLV,30,30,2,C,False
Soup Base Gf Chix,6-1#/CS,30,27,12,C,False
Pc Sauce Dipping Barbeque,100/CS,30,26,5,C,False
Noodle Udon Pre-Cooked,4-5 LB/CS,30,13,7,C,False
Cap Red Crew Ldr,EACH,30,31,1,C,False
$$ Ramune Bev Blue Hawaiian,24 EA/CS,30,16,4,C,False
$$ Pc Hummus W/Pretzel Rstd Garlic,12 EA/CS,29,25,4,C,False
Clnr Ecl Smrtpwr Rnse All Pur,2-2.5#/CS,29,16,4,C,False
Liquor Wine Red Dry Franz,5 LITER BOX,29,11,2,C,False
Stb Cup Cold 12Oz,1060 EA/CS,29,9,2,C,False
# Sambazon Dragonfruit Scoopable,3 GAL TUB,28,31,1,C,False
$$ Yog Chob Flip Strawb Cheesecake,12 EA/CS,28,27,5,C,False
$$ Pc Hummus W/Pretzel Rstd Pepper,12 EA/CS,28,23,4,C,False
Marinade Tandoori,4#/CNTR,28,22,7,C,False
Roll Gf Hamburger,6-4 CT/CS,28,20,8,C,False
Entree Prep Eggplant Brd Cutlets,2-5#/CS,28,18,6,C,False
Shirt Polo Navy 3Xlarge,EACH,28,27,2,C,False
Pc Dress Ranch Garden,60 EA/CS,27,30,5,C,False
$$ Ld Dayquil Severe 4 Ct,6 PK/SLV,27,27,6,C,False
$$ Ld Esset Toothpaste & Brush Peg,4 PK/SLV,27,25,3,C,True
Pretzel Bites,500 EA/CS,27,22,1,C,False
Bakex Wht Straw Tumbler Custom Print,EACH,27,36,2,C,True
Wrap Sub 18X20 Grease Resistant,1000 EA/CS,27,23,10,C,False
Tea Teav Harmonic Mint,6-24 EA/CS,27,16,1,C,False
Veg Fzn Pot F/F Sidewinders,6-4#/CS,27,29,5,C,False
Dssrt Bd Lemon Bar,156 EA/CS,27,13,6,C,False
Pc Cheese Crm Chive And Onion 1 Oz,100 EA/CS,27,18,11,C,False
Clnr Ecl Lime Away Deliming,4 GAL/CASE,26,30,6,C,False
Dress Mix Ranch Hidden Valley,18-3.2OZ/CS,26,29,10,C,False
Beef Slcd Marinated,2-5 LB/CS,26,28,2,C,False
Noodle Fzn Lo Mein Precooked,6-5LB/CS,26,24,2,C,False
Flatware Plstc Forks Bl,1000 EA/CASE,26,19,4,C,False
$$ Pringles Sour Crm & Onion 2.38Oz,12 EA/CS,25,30,3,C,False
$$ Miss Vickies Sea Salt Vinegar,64 EA/CS,25,31,2,C,True
Veg Fzn Peas,12-2.5#/CS,25,22,7,C,False
Sauce Gf Tamari Soy,6-1.69 QT/CS,25,24,12,C,False
Base Cptl Flav Concentrate,6-14.4 OZ/CS,25,22,7,C,False
Tray Food 3# Paper Compost,500 EA/CS,25,21,8,C,False
"# Roll Amoroso Esl 12""",48 EA/CS,25,23,1,C,False
Tea Teav Ginger Peach Green,6-24 EA/CS,25,12,6,C,False
Sauce Mustard Yel Disp Pack,2-1.5GAL/CS,25,12,7,C,False
Stb Coffee Pike Place 5Oz,32-5 OZ/CS,24,30,11,C,True
$$ Guacamole W Tostito,12 EA/CS,24,25,8,C,True
Juice Fzn Express Lemonade,3-3 LITRE/CS,24,24,1,C,False
Veg Fzn Blend Whl Bean Carrot,12-2 LB/CS,24,23,5,C,False
$$ Meiji Hello Panda Strawberry 7Oz,6 EA/CS,24,22,5,C,False
# Oats Rolled Old Fashioned Gf,25 LB/BAG,24,18,3,C,False
Wrap Tortilla Honey Wheat,6 DOZ/CS,23,31,4,C,False
Glove Nitrile Pf Xlarge,10-100 EA/CS,23,26,9,C,False
$$ Yog Chob Blueb,12 EA/CS,23,26,8,C,False
Fru Fzn Mango Chunk Iqf,10#/CS,23,26,8,C,False
Fru Dried Cranberry Kosher,10#/CS,23,23,4,C,False
Dssrt Baklava,24 EA/CS,23,26,6,C,False
Box Pizza Slcd Indv Lg,400/CS,23,23,7,C,False
Steamed Bun,6-24 EA/CS,23,18,9,C,False
Cheese Mozz Fresh Ball 0.6Oz,2-3#/CS,23,15,5,C,False
"Daydots Fri 2"" Green",500 EA/ROLL,23,15,7,C,False
Cap Charcoal Cul Asst,EACH,23,22,2,C,False
$$ Hitempura Seaweed Snack Org,12 EA/CS,23,8,13,C,False
$$ Ld Mucinex Dm 2 Ct,6 EA/SLV,22,23,3,C,False
Bun Pretzel 4Oz,72 EA/CS,22,19,1,C,False
Juice Lemon,12-32 OZ/CS,22,17,7,C,False
$$ Kc Granola Cookie Butter,5 EA/CS,22,24,5,C,False
$$ Almond Milk Orig 32Oz,6-32 OZ/CS,21,30,8,C,False
Topping Choc Wafer Cookie Pieces,30 LB/CS,21,26,8,C,False
Cheese Curds Brd,12 LB/CS,21,25,1,C,True
Juice Lime,*4 GAL/CS,21,24,12,C,False
Vinegar Rice Unseasoned Kosher,4-1GAL/CS,21,23,4,C,False
$$ Sabra Guacamole Classic 7 Oz,8-7 OZ/CS,21,27,10,C,False
Soup Tomato,12-50 OZ/CS,21,20,6,C,False
Tea Teav English Breakfast,6-24 EA/CS,21,13,1,C,False
$$ Yog Silk Nd Blueberry,8 EA/CS,21,12,5,C,False
$$ Almond Milk Vanilla 32Oz,6-32 OZ/CS,20,25,10,C,True
$$ Pringles Original 5.26Oz,14 EA/CS,20,23,10,C,False
Sauce Chili Sriracha Kosher,12-28 OZ/CS,20,22,10,C,False
Cheese Prov Sharp,CATCH WGT/#,20,25,3,C,True
$$ India Dal Makhani W/ Basmati Rice,6 EA/CS,20,14,9,C,False
$$ Cup N Lids Combo 12 Oz,12-16 CT/CS,20,8,10,C,False
# Cho Sauce Spicy Mango,6-64 OZ/CS,20,7,6,C,False
$$ Yog Silk Nd Strawberry,8 EA/CS,19,29,12,C,False
Bakea Choc Morsels Semi Swt 900Ct,50 LB/CS,19,50,3,C,False
$$ Bowl Paper Anyday 12 Oz,12-34 CT/CS,19,24,7,C,False
$$ Miss Vickies Smkhse Bbq,64-1.375 OZ/CS,19,25,4,C,False
$$ Pringles Sour Crm & Onion 5.57Oz,14 EA/CS,19,22,7,C,True
Roll Gf Hoagie,12 EA/CASE,19,21,5,C,False
Stb Syrup Brown Sugar,*6-1LTR/CS,19,20,12,C,False
$$ Red Plate Cookie Iw Cchip Af,12 EA/CS,19,19,1,C,False
$$ Ath Mush Peanut Butter,8 EA/CS,19,18,3,C,False
Gloves Vinyl Pf Xxl Disposable,1000 EA/CS,19,16,3,C,False
Pc Sauce Dipping Buffalo,100 EA/CASE,19,16,7,C,False
# Eggroll Beef Cheese Stk 3.0Oz,60 EA/CS,19,27,11,C,False
Spice Shichimi Togarashi (Nanami),1 LB/BAG,19,11,4,C,False
Fru Mandarin Orange Sections,6/10 CN,18,24,2,C,False
Syrup Coffee Sf Van,*4-LTR/CS,18,23,8,C,False
Vinegar Cider,4 GAL/CS,18,23,12,C,False
# Cho Soup Yellow Lentil,6-1/2 GAL,18,26,11,C,False
Glove Cut Resistant Medium,EACH,18,21,10,C,False
Veg Fzn Blend Italian,12-2#/CS,18,21,4,C,False
$$ Samyang Carbo Chix Topokki Hot,16 EA/CS,18,16,5,C,False
$$ Rheechun Rice Cooked,12 EA/CS,18,14,10,C,False
Pasta Gemelli,2-10 LB/CS,18,14,9,C,False
Roll Hot Dog Potato,144 EA/CS,18,15,6,C,False
"Dough Puff Sq 5""X5""",120 EA/CS,18,13,2,C,False
Veg Beans Pinto,6-#10CN/CASE,18,13,3,C,False
Bev Mix Nes Sbc Coffee Ps Wb,6-12 OZ/CS,18,12,12,C,False
"Daydots Sun 2"" Bl",500 EA/ROLL,18,11,7,C,False
# Bevi Peach Mango,1 GAL,18,11,6,C,False
Stb Sauce White Chocolate,4-63OZ/CS,17,26,4,C,False
$$ Ld Tylenol Es Caplet 6 Ct,6 PK/SLV,17,25,10,C,False
Stb Fru Dried Dragonfruit,12-75 GM/CS,17,23,3,C,False
Juice Fzn Express Passion Org Guava,CASE,17,19,10,C,False
# Cho Mango Lemonade Concentrate,4-80 OZ/CS,17,21,12,C,False
Stb Coffee Veranda 5Oz,32-5 OZ/CS,17,17,1,C,False
"Daydots Mon 2"" Blue",500 EA/ROLL,17,16,8,C,False
"Daydots Wed 2"" Red",500 EA/ROLL,17,14,2,C,False
$$ India Chana Masala W/Rice,6 EA/CS,17,14,6,C,False
Bakea Sprinkles Rainbow Mix,6#/BOX,17,11,9,C,False
Fish Salmon Filet 4Oz,10#/CS,17,11,2,C,False
Veg Beans Great Northern,6/10 CN,17,10,3,C,False
Cookie Bky Raw Cs 1Oz Sug,120 EA/CS,16,29,7,C,False
$$ Meiji Chocorooms,12 EA/CS,16,22,9,C,False
$$ Pringles Salt & Vinegar 2.5Oz,12 EA/CS,16,19,2,C,False
Tea Teav Black Iced 1.25Oz,20-1.25OZ/CS,16,17,6,C,False
Bakea Leavening Yeast Instant,16 OZ,16,34,8,C,False
Juice Fzn Express Pom Lemonade,3-3 LITRE/CS,16,16,1,C,False
Egg Substitute Liquid,12-2#/CS,16,14,5,C,False
Label Dining Qr Survey,8 ROLLS/CS,16,15,8,C,False
Spice Cumin Seed Ground Kosher,6-14OZ/CS,16,13,4,C,False
# Hub App Potsticker Pork,6-30 EA/CS,16,13,2,C,False
Pc Sauce Honey Hot Wing,100 EA/CS,16,13,1,C,False
Veg Fzn Pot Fries Coated Kosher,6-4.5 #/CS,16,22,9,C,False
Cracker Saltine 2Pk,500 PKG/CS,16,11,5,C,False
Fill Pie Apple,3-#10 CN/CS,16,11,10,C,False
# Cho Sauce Mint Yogurt,6-64 OZ/CS,16,9,4,C,False
"Chix Brst Fc Diced 3/4""",10#/CASE,15,23,10,C,False
Flatware Plstc Teaspoon Bl,1000 EA/CASE,15,21,6,C,False
Pc Crmer Half & Half Shelf Stable,384-.304 OZ/CS,15,21,6,C,False
"Daydots Thur 2"" Brn",500 EA/ROLL,15,16,3,C,False
Tea Teav Radiant Green,6-24EA/CS,15,13,6,C,False
Pasta Spirals (Rotini),20LB/BOX,15,13,4,C,False
$$ Halal Sr Chicken Tikka Masala,8 EA/CS,15,13,1,C,False
# Chix Tenders Kosher,20 LB/CS,15,18,5,C,False
$$ Kc Granola Honey Oat,5 EA/CS,15,20,7,C,False
"Daydots Sat 2"" Orange",500/ROLL,15,9,9,C,False
Pc Jelly Grape,200/CS,15,8,4,C,False
Pc Cheese Crm Lf 3/4Oz,100 EA/CASE,15,7,3,C,False
$$ Yog So Delicious Nd Raspberry,12 EA/CS,15,9,6,C,False
$$ Pringles Barbeque 2.5Oz,12 EA/CS,14,23,6,C,False
# Beef Patty Fc 5Oz Concession,32-5OZ/CS,14,23,12,C,False
Water Flav Strawb Kiwi,3-3 L/CS,14,17,11,C,False
$$ Kc Smores Flapjack,12 CUPS/CS,14,18,8,C,False
Sweatshirt Qt Zip Navy Large,EACH,14,19,4,C,False
$$ Ath Mush Apple Cinnamon,8 EA/CS,14,16,6,C,False
Pasta Fzn Gnocchi,5-2.2 LB/CS,14,15,15,C,False
$$ Rijuice Strawberry Sam,12 EA/CS,14,15,5,C,False
Tea Teav Modern Earl Grey,6-24 EA/CS,14,14,7,C,False
$$ Stacy'S Simply Naked 7.33Oz,12 EA/CS,14,13,3,C,False
$$ Bar Perfect Dk Choc Chip Pb,16 EA/CS,14,13,7,C,False
App Samosa Veg,2-4#/CS,14,18,6,C,False
$$ India Rajma W/ Rice,6 EA/CS,14,13,10,C,False
$$ Almond Milk Drk Choc,12-10 OZ/CS,14,11,2,C,False
$$ Yog Oikos Blueberry 5.3Oz,12 EA/CS,14,13,2,C,False
Bev Base Fzn Smoothie Strawb/Ban,24 EA/CS,14,13,3,C,False
Clnr Ecl Smartpower Pot And Pan Soak,3-5#/CS,14,11,10,C,False
Liquor Sherry Taylor Dry,3L,14,15,3,C,False
Clnr Ecl Solid Metal Pro,4-8#/CS,14,6,2,C,False
"Plate 10"" Rd Compost",500 EA/CS,13,26,8,C,True
Nut Peanut Pb Stock Honey,30#/CS,13,22,5,C,False
Tray Food 2# Paper Compost,1000/CASE,13,21,10,C,True
$$ Ld Tylenol Sinus Svr 6 Ct,6 PK/SLV,13,19,4,C,False
Veg Fzn Carrots Whl Baby,12-2#/CASE,13,15,10,C,False
$$ Bare Fuji & Reds Apple 1.4Oz,6 EA/CS,13,16,5,C,False
Veg Fzn Mixed,12-2.5 LB/CS,13,12,5,C,False
$$ Pitaya Bowl Protein Blue Spirulina,8 EA/CS,13,11,2,C,True
Box Pizza 9X9X1.5 Clayboard Whte,100/BDL,13,12,6,C,False
Stb Soy Milk Vanilla,8-64 OZ/CS,13,11,5,C,False
Cup 24Oz Clear Pet,600 EA/CS,13,13,2,C,False
$$ Ramune Bev Strawberry,24 EA/CS,13,16,5,C,False
$$ My Mochi Ripe Strawberry Ss,72 EA/CS,13,6,1,C,False
Paste Tikka Masala,*4 CNTR/CS,12,29,20,C,False
Picnic Pack Hvy Wt Black,250 EA/CS,12,18,5,C,False
$$ Meiji Hello Panda Vanilla 7Oz,6 EA/CS,12,18,12,C,False
$$ Pringles Sour Cheddar 2.38Oz,12 EA/CS,12,17,6,C,False
$$ Kc Choc Fudge Brownie Cup,12 CUPS/CS,12,18,6,C,False
$$ Ath Mush Vanilla Bean,8 EA/CS,12,18,6,C,False
$$ Oatmilk Original 11Oz,12-11 OZ/CS,12,14,7,C,False
Bakex White Tumbler Custom Print,EACH,12,32,9,C,True
$$ Binggrae Samanco Choc 4Pk,6-4 PK/CS,12,20,10,C,False
$$ Hbc Olly Tt Restful Sleep,24 EA/CS,12,11,3,C,False
Stb Cup Hot 16Oz,920 EA/CS,12,10,2,C,False
Bakea Donut Fritter Apple,96 EA/CS,12,18,8,C,False
# Cornstarch Bulk,50 LB/BAG,12,12,9,C,False
Fish Calamari Breaded,6-2#/CS,12,11,9,C,False
Chix Quarter 8-10Oz,33.75 LB/CS,12,9,2,C,False
$$ Orion Turtle Chips Seaweed,12 EA/CS,12,8,5,C,False
$$ Pringles Hot Ones Calientes Rojo,14 EA/CS,12,8,5,C,False
Clnr Keating Klenser,12 CANS/CS,12,5,2,C,False
Rice Milk Kosher,6-32 OZ/CS,11,20,9,C,False
Spice Salt Cooking,50#/BG,11,19,6,C,False
"Bread Flat 6.5"" X 6.5""",120-3.3OZ/CS,11,18,8,C,False
Pc Sauce Dipping Mustard Honey,100/CS,11,17,9,C,False
"Daydots Tue 2"" Yel",500 EA/ROLL,11,15,12,C,False
Grain Quinoa,25#/BAG,11,14,5,C,False
$$ Pringles Barbeque 5.57Oz,14 EA/CS,11,14,3,C,False
Ginger Puree,6-32OZ/CS,11,14,6,C,False
$$ Ld Pepto Bismol 6 Ct,6 PK/SLV,11,14,1,C,False
Cereal Cold Cinn Toast Crunch,4-45 OZ/CS,11,14,5,C,False
Fru Applesauce,6/10 CN,11,11,2,C,True
Stb Cup Hot Sleeve 12/16/20,1380/case,11,12,8,C,False
Tea Teav Chamomile Blush,6-24 EA/CS,11,11,10,C,False
Pc Dress Ff Ranch,60 EA/CS,11,12,2,C,True
$$ Pringles Pizza 2.5Oz,12 EA/CS,11,10,3,C,False
$$ Kc Granola Chocolate,5 EA/CS,11,20,11,C,False
$$ Gogo Squeez Al Cherry Rasp Lime,6 BX/CS,11,11,5,C,False
Bread Crumbs,20#/CS,11,6,8,C,False
# Btrsta Tapioca Brown Sugar,20-1.1 LB/CS,11,12,3,C,False
$$ Smoodi Strawberry Banana,12 EA/CS,10,20,6,C,False
Fuel Canned - 6 Hour Wick,24 CN/CS,10,19,7,C,True
Miso Traditional,2.2#/PKG,10,20,12,C,False
Ecl Trigger For Spray Bottle,EACH,10,25,7,C,False
Veg Pot Scalloped Mix Dry,12-20.35OZ,10,15,3,C,True
$$ Kc Double Dark Choc Muffin Cup,12 CUPS/CS,10,15,5,C,False
$$ Rijuice Ginger Turmeric 2 Oz,12 EA/CS,10,18,10,C,False
Veg Beans Red Kidney,6/10 CN,10,14,10,C,False
Bakea Donut Cake Apple Cider,96 EA/CS,10,20,12,C,False
Soup Base Gf Beef,6-1#/CS,10,11,8,C,False
Liner Pan Nylon For 1/4 & 1/3,100 EA/CS,10,13,2,C,True
Tea Teav Chai Classic,6-24 EA/CS,10,10,6,C,False
$$ Nongshim Shin Ramen Blk 4Pk,4-4 PK/CS,10,10,5,C,False
Mushroom Pulled Shittake Fzn Bulk,6-2.2 LB/CS,10,9,4,C,False
Fru Fzn Blueberry Kosher,30#/CS,10,9,2,C,True
Oil Coating Waffle Iron Spray,EACH,10,9,5,C,False
Hooded Jacket - Medium,EACH,10,16,7,C,False
Shirt Work Hfs Navy - Xl,EACH,10,20,12,C,False
"Puff Pastry Sht 10""X15""",20-12OZ/CS,10,6,8,C,False
Pc Swtnr Artfcl Splenda,2000/CASE,10,6,3,C,False
$$ Halal Sr Chix Enchiladas Poblano,8 EA/CS,10,10,1,C,False
"Brush Grill Dbl Sided 30""",EACH,10,3,2,C,False
Stb Coffee Veranda 9Oz,28-9 OZ/CS,9,20,10,C,False
Bakea Danish Snail Pln P&B,120 EA/CS,9,17,11,C,False
$$ Smoodi Brain Boost,12 EA/CS,9,17,1,C,False
$$ Ath Mush Wild Blueberry,8 EA/CS,9,15,14,C,False
$$ Pitaya Bowl Protein Acai,8 EA/CS,9,14,10,C,True
# Cho Samosa,4-5# BAG/CS,9,14,3,C,False
$$ Almond Milk Vanilla Unsweetened,12-10 OZ/CS,9,12,6,C,False
Liners Pan 16X24.5 Single Use,1000EA/CS,9,12,9,C,False
Cntr Bowl 24Oz Plstc Clear,252 EA/CS,9,12,4,C,False
Pc Jelly Strawberry Jam,200/CS,9,11,11,C,False
$$ Muffin Iw Lemon Blueberry Af,12 EA/CS,9,11,4,C,False
$$ Pitaya Bowl Protein Dragon Fruit,8 EA/CS,9,10,6,C,True
# Roll Challah Parve Kosher,90 EA/CS,9,14,7,C,False
Sauce Tabasco,12/12 OZ,9,8,3,C,False
"Lid Caterware Dome 12""",25/CS,9,9,4,C,False
Dress Blue Cheese,4-GAL/CASE,9,9,2,C,False
Shell Gf Pizza,20 EA/CS,9,8,7,C,False
$$ Izze Clementine Can,24 CANS/CS,9,7,1,C,True
"Wrap Foil 18""",3 ROLLS/CS,9,7,5,C,False
Veg Fzn Spinach Leaf Iqf,20 LB/CS,9,6,3,C,False
Pasta Spaghetti #9 Thin Cut,20LB/BOX,9,6,1,C,False
Spice Oregano Whl Kosher,3 CNTR/CASE,9,6,2,C,False
Cereal Cold Fruity Pebbles,12-15OZ/CS,9,7,3,C,False
$$ My Mochi Cookies And Cream Ss,72 EA/CS,9,5,5,C,False
